stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,0,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,18334.39428164471,534.227942,679.832235,10598.143939,0.72,0.72,142.57243,0.833333,0.333333,75,1.0,2371.4732,0.195036,108.0,22.0,32.0,12.0
tight_battery,0,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17054.596818084712,507.059832,652.021642,10606.04416,0.472973,0.472973,225.133453,0.277778,0.277778,74,1.013514,2748.4295,0.302105,125.0,25.0,15.0,17.0
tight_battery,0,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,16235.972077644714,488.708966,622.261869,10598.143939,0.72,0.72,213.970169,0.277778,0.277778,75,1.0,2371.4732,0.142172,123.0,25.0,17.0,20.0
tight_battery,1,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17498.90872125795,533.187855,675.198778,10250.103544,0.426667,0.426667,150.917922,0.666667,0.388889,75,1.0,2422.7936,0.19827,98.0,18.0,42.0,17.0
tight_battery,1,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17498.90872125795,533.187855,675.198778,10250.103544,0.426667,0.426667,150.917922,0.666667,0.388889,75,1.0,2422.7936,0.209584,119.0,17.0,21.0,14.0
tight_battery,1,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17498.90872125795,533.187855,675.198778,10250.103544,0.426667,0.426667,150.917922,0.666667,0.388889,75,1.0,2422.7936,0.192413,119.0,12.0,21.0,12.0
tight_battery,1,no_uq,alns_full_no_uq,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17132.258373457957,519.42029,674.251975,10221.26201,0.76,0.76,148.503448,0.722222,0.277778,75,1.0,2170.6174,0.188545,105.0,16.0,35.0,12.0
tight_battery,1,no_risk_value,alns_full_no_risk_value,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17635.865789257954,511.68676,688.064295,10250.103544,0.426667,0.426667,234.99744,0.222222,0.222222,75,1.0,2422.7936,0.226327,125.0,21.0,15.0,14.0
tight_battery,1,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17403.09681185796,501.431165,688.064295,10225.826541,0.76,0.76,231.944564,0.222222,0.222222,75,1.0,2170.6174,0.211214,125.0,21.0,15.0,15.0
tight_battery,2,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,16411.22577196657,512.332616,666.705033,10036.020598,0.426667,0.426667,124.852793,0.722222,0.555556,75,1.0,2284.9221,0.199163,113.0,12.0,27.0,12.0
