stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,4,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8089.554637186399,246.611432,885.118337,10485.779159,0.453333,0.453333,174042.986951,0.666667,2829.0823,0.136284,121.0,22.0,19.0,14.0
tight_battery,4,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8089.554637186399,246.611432,885.118337,10485.779159,0.453333,0.453333,174042.986951,0.666667,2829.0823,0.128411,119.0,11.0,21.0,11.0
tight_battery,4,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,9313.145089626401,234.298359,903.732088,10460.990186,0.733333,0.733333,188164.969987,0.777778,2348.7812,0.028784,0.0,0.0,0.0,0.0
tight_battery,4,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,9357.516640186399,238.126064,852.615624,10485.779159,0.453333,0.453333,189674.228421,0.666667,2829.0823,0.031222,0.0,0.0,0.0,0.0
tight_battery,4,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5597.113000626399,238.569969,704.942279,10460.990186,0.733333,0.733333,241317.711545,0.111111,2348.7812,0.098288,127.0,28.0,13.0,18.0
tight_battery,5,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6841.3541834376,243.368891,826.546779,10259.117509,0.493333,0.493333,109605.477947,0.722222,2896.9756,0.131026,115.0,23.0,25.0,15.0
tight_battery,5,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6841.3541834376,243.368891,826.546779,10259.117509,0.493333,0.493333,109605.477947,0.722222,2896.9756,0.138295,123.0,14.0,17.0,13.0
tight_battery,5,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6841.3541834376,243.368891,826.546779,10259.117509,0.493333,0.493333,109605.477947,0.722222,2896.9756,0.144331,124.0,13.0,16.0,13.0
tight_battery,5,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8538.8817323576,233.669398,1028.010093,10236.16177,0.76,0.76,117364.519513,0.888889,2016.6132,0.026218,0.0,0.0,0.0,0.0
tight_battery,5,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8507.591264437599,229.528986,839.716487,10259.117509,0.493333,0.493333,117997.050822,0.833333,2896.9756,0.028826,0.0,0.0,0.0,0.0
