size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,7,high,no_risk_value,kmeans,3,M50_P25_seed7_high_kmeans25,not_milp,1250,150,0.88,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.832091,588.383474,2264.168842,0.0,0.0,64725.761351,1.0,0,0.012718,2324.1035902136,0.0,0.0
M,1,50,25,2,2,7,high,no_clustering,direct,3,M50_P25_seed7_high,not_milp,1250,1250,0.0,1250,100.0,8.0,0.0,8.0,101.0,50.0,900.0,29.0,18.0,18.0,15.0,20.0,53.0,47.0,112.935842,622.065285,2662.91259,0.0,0.0,70132.183456,1.0,0,0.029832,2601.0367771736,0.0,0.0
M,1,50,25,2,2,8,high,alns_pinn_full,kmeans,3,M50_P25_seed8_high_kmeans25,not_milp,1250,150,0.88,77,100.0,6.0,0.0,6.0,101.0,50.0,900.0,26.0,19.0,21.0,18.0,16.0,42.0,58.0,101.112208,648.331593,2262.887907,0.0,0.0,47687.882528,0.833333,0,0.028438,2460.954857765599,0.0,0.0
M,1,50,25,2,2,8,high,no_pinn,kmeans,3,M50_P25_seed8_high_kmeans25,not_milp,1250,150,0.88,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.257807,552.782196,2262.887907,0.0,0.0,77474.567676,0.25,0,0.001753,2118.7320137655997,0.0,0.0
M,1,50,25,2,2,8,high,no_adaptive,kmeans,3,M50_P25_seed8_high_kmeans25,not_milp,1250,150,0.88,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.324241,640.842758,2262.887907,0.0,0.0,47904.06542,0.75,0,0.01332,2466.8146937656006,0.0,0.0
M,1,50,25,2,2,8,high,no_uq,kmeans,3,M50_P25_seed8_high_kmeans25,not_milp,1250,150,0.88,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.716325,643.324389,2262.887907,0.0,0.0,47808.730011,0.833333,0,0.011723,2479.5706437656004,0.0,0.0
M,1,50,25,2,2,8,high,no_risk_value,kmeans,3,M50_P25_seed8_high_kmeans25,not_milp,1250,150,0.88,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.621892,600.869825,2262.887907,0.0,0.0,47894.367439,0.75,0,0.012858,2467.1491547656005,0.0,0.0
M,1,50,25,2,2,8,high,no_clustering,direct,3,M50_P25_seed8_high,not_milp,1250,1250,0.0,1250,100.0,5.0,0.0,5.0,101.0,50.0,900.0,19.0,20.0,19.0,20.0,22.0,54.0,46.0,120.248661,662.66263,2737.172311,0.0,0.0,52998.748191,0.833333,0,0.029041,2801.9314006856,0.0,0.0
M,1,50,25,2,2,9,high,alns_pinn_full,kmeans,3,M50_P25_seed9_high_kmeans25,not_milp,1250,146,0.8832,75,100.0,8.0,0.0,7.0,101.0,50.0,900.0,15.0,22.0,27.0,16.0,20.0,57.0,43.0,107.384275,610.559187,2317.140933,0.0,0.0,55653.755747,0.916667,0,0.033814,2202.10539834,0.0,0.0
M,1,50,25,2,2,9,high,no_pinn,kmeans,3,M50_P25_seed9_high_kmeans25,not_milp,1250,146,0.8832,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.68479,519.55607,2312.856912,0.04,0.04,70403.015631,0.166667,0,0.001901,1932.8571957400002,0.0,0.0
M,1,50,25,2,2,9,high,no_adaptive,kmeans,3,M50_P25_seed9_high_kmeans25,not_milp,1250,146,0.8832,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.640681,597.328852,2312.856912,0.04,0.04,56012.68565,0.833333,0,0.01278,2261.1699177399996,0.0,0.0
M,1,50,25,2,2,9,high,no_uq,kmeans,3,M50_P25_seed9_high_kmeans25,not_milp,1250,146,0.8832,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.50595,650.405678,2312.856912,0.04,0.04,56078.024479,0.916667,0,0.012344,2281.27495274,0.0,0.0
M,1,50,25,2,2,9,high,no_risk_value,kmeans,3,M50_P25_seed9_high_kmeans25,not_milp,1250,146,0.8832,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.393067,611.414422,2317.140933,0.0,0.0,56236.038816,0.833333,0,0.01293,2273.3967073399995,0.0,0.0
M,1,50,25,2,2,9,high,no_clustering,direct,3,M50_P25_seed9_high,not_milp,1250,1250,0.0,1250,100.0,8.0,0.0,8.0,101.0,50.0,900.0,20.0,28.0,22.0,17.0,13.0,47.0,53.0,113.485593,679.100793,2690.724668,0.0,0.0,62993.951654,0.916667,0,0.028637,2572.7040382599994,0.0,0.0
